,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-85139181559,Assessment of EV hosting capacity in a workplace environment in different charging strategies,CIRED - Open Access Proceedings Journal,2020-01-01,8,1,10.1049/oap-cired.2021.0085
0,2-s2.0-85124142743,Maximum Hosting Capacity Evaluation Method of Solar Energy in Integrated Energy Distribution System based on enhanced-SOCP,IEEE Power and Energy Society General Meeting,2021-01-01,24,1,10.1109/PESGM46819.2021.9638052
0,2-s2.0-85082009235,Hosting Capacity Analysis for Photovoltaic Rooftop in Indonesia,"Proceedings of the 2nd International Conference on High Voltage Engineering and Power Systems: Towards Sustainable and Reliable Power Delivery, ICHVEPS 2019",2019-10-01,11,1,10.1109/ICHVEPS47643.2019.9011093
0,2-s2.0-85060310484,Comparing control systems performance in increasing the Hosting Capacity of distribution networks,"2018 110th AEIT International Annual Conference, AEIT 2018",2018-12-14,9,1,10.23919/AEIT.2018.8577325
0,2-s2.0-85113168562,Priority-based management algorithm in distributed energy resource management systems,IEEE Green Technologies Conference,2021-04-01,17,1,10.1109/GreenTech48523.2021.00063
0,2-s2.0-85094325076,Dynamic Hosting Capacity Evaluation of DGs in Active Distribution Network,"Asia-Pacific Power and Energy Engineering Conference, APPEEC",2020-09-01,19,1,10.1109/APPEEC48164.2020.9220579
0,2-s2.0-85084285284,Simultaneous Integration of Renewable Power Generation and Battery Energy Storage in Distribution Networks,"2019 8th International Conference on Power Systems: Transition towards Sustainable, Smart and Flexible Grids, ICPS 2019",2019-12-01,25,1,10.1109/ICPS48983.2019.9067684
0,2-s2.0-85099585940,Impact of Integrating Small Scale Wind Systems in the Secondary Distribution Network-Case Study for Mauritius,"2020 3rd International Conference on Emerging Trends in Electrical, Electronic and Communications Engineering, ELECOM 2020 - Proceedings",2020-11-25,27,1,10.1109/ELECOM49001.2020.9297031
0,2-s2.0-85098321699,A novel method to determine the maximum penetration level of distributed generation in the distribution network,"2020 28th Iranian Conference on Electrical Engineering, ICEE 2020",2020-08-04,10,1,10.1109/ICEE50131.2020.9260856
0,2-s2.0-85075422925,Effect of augmented distributed generation in distribution networks,Energy Reports,2020-02-01,23,1,10.1016/j.egyr.2019.10.036
0,2-s2.0-85078610109,Power quality and hosting capacity in islanding microgrids,Microgrids Design and Implementation,2018-11-29,15,1,10.1007/978-3-319-98687-6_10
0,2-s2.0-85105207780,A Control Strategy of BESS and its Real-Time Simulation for increasing the Hosting Capacity of Variable Energy Resources in the Distribution System,Transactions of the Korean Institute of Electrical Engineers,2021-01-01,35,1,10.5370/KIEE.2021.70.4.599
0,2-s2.0-85126297909,Evaluating the Risk of Exceeding the Normal Operating Conditions of a Low‐Voltage Distribution Network Due to Photovoltaic Generation,Energies,2022-03-01,33,1,10.3390/en15061969
0,2-s2.0-85101718080,Probabilistic Hosting Capacity and Operating Reserve Calculation in Renewable-rich Distribution Networks,"2020 Australasian Universities Power Engineering Conference, AUPEC 2020 - Proceedings",2020-11-29,28,1,
0,2-s2.0-85045981107,Voltage enhancement by basic active power curtailment of low-voltage grid-connected PV systems in view of complex power flow theories and real world testing and measurement results,"2017 Asian Conference on Energy, Power and Transportation Electrification, ACEPT 2017",2017-12-05,30,1,10.1109/ACEPT.2017.8168542
0,2-s2.0-85098791178,Coordinated Operational Optimization Approach for PV Inverters and BESSs to Minimize the Energy Loss of Distribution Networks,IEEE Systems Journal,2022-03-01,32,1,10.1109/JSYST.2020.3041787
0,2-s2.0-85081975914,Hosting capacity calculation method for variable energy resources based on the operation simulation of distribution system,Transactions of the Korean Institute of Electrical Engineers,2020-01-01,14,1,10.5370/KIEE.2020.69.1.9
0,2-s2.0-85127076174,Optimal Allocation of Shunt Capacitors and DG Units in Distribution Systems Operating under Non-Sinusoidal Conditions using GA,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2021",2021-01-01,17,0,10.1109/ICECET52533.2021.9698810
0,2-s2.0-85108598870,A study on the optimization over-current relay setting value considering the effect of a high penetration rate of distributed generation on distribution protection system,Transactions of the Korean Institute of Electrical Engineers,2021-06-01,20,0,10.5370/KIEE.2021.70.6.852
0,2-s2.0-85122899585,Supervised Learning for Distribution Secondary Systems Modeling: Improving Solar Interconnection Processes,IEEE Transactions on Sustainable Energy,2022-04-01,22,0,10.1109/TSTE.2022.3140650
0,2-s2.0-85113308668,Coordinated Volt-Var Control in Microgrids,"2021 16th International Conference on Ecological Vehicles and Renewable Energies, EVER 2021",2021-05-05,17,0,10.1109/EVER52347.2021.9456615
0,2-s2.0-85135182770,PV Active Power Curtailment for Distribution Network Management,IEEE Latin America Transactions,2021-07-01,34,0,10.1109/TLA.2021.9827474
0,2-s2.0-85107162830,Hosting capacity improvement method using MV-MV solid-state-transformer,Energies,2021-02-01,24,0,10.3390/en14030622
0,2-s2.0-85128100270,Towards Market-Based Integration of Renewable Generation in Power Grids,"Proceedings - 2021 IEEE Sustainable Power and Energy Conference: Energy Transition for Carbon Neutrality, iSPEC 2021",2021-01-01,18,0,10.1109/iSPEC53008.2021.9735975
0,2-s2.0-85122763942,Stochastic Approach to Hosting Limit of Transmission System and Improving Method Utilizing HVDC,Applied Sciences (Switzerland),2022-01-01,27,0,10.3390/app12020696
0,2-s2.0-85139561840,Hosting Capacity Analysis of Distribution Network Considering Photovoltaic Uncertainties,Proceedings of SPIE - The International Society for Optical Engineering,2022-01-01,6,0,10.1117/12.2646930
0,2-s2.0-85087930327,An overview of hosting capacity for modern power grids,Hosting Capacity for Smart Power Grids,2020-01-01,17,0,10.1007/978-3-030-40029-3_1
0,2-s2.0-85126429964,Multi-Objective Particle Swarm Optimization for Harmonic-Constrained Hosting Capacity Maximization and Power Loss Minimization in Distorted Distribution Systems,"21st IEEE International Conference on Environment and Electrical Engineering and 2021 5th IEEE Industrial and Commercial Power System Europe, EEEIC / I and CPS Europe 2021 - Proceedings",2021-01-01,20,0,10.1109/EEEIC/ICPSEurope51590.2021.9584785
0,2-s2.0-85126064327,An Improved Hosting Capacity Assessment Method for Distribution Network with DERs,"2021 11th International Conference on Power and Energy Systems, ICPES 2021",2021-01-01,11,0,10.1109/ICPES53652.2021.9683865
0,2-s2.0-85087935902,Hosting capacity determination via risk analysis approach involving likelihood and severity of operational constraint violation,Hosting Capacity for Smart Power Grids,2020-01-01,33,0,10.1007/978-3-030-40029-3_2
0,2-s2.0-85091340438,A data-driven approach to assessing and improving stochastic residential load modeling for district-Level Simulations and PV Integration,"2020 International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2020 - Proceedings",2020-08-01,12,0,10.1109/PMAPS47429.2020.9183420
0,2-s2.0-85124368877,PV Hosting Capacity Assessment for Improved Planning of Low-Voltage Distribution Networks,"2021 North American Power Symposium, NAPS 2021",2021-01-01,13,0,10.1109/NAPS52732.2021.9654614
0,2-s2.0-85100851275,Practical PV hosting capacity determination using load factor of the distribution transformer,"2020 IEEE PES Transmission and Distribution Conference and Exhibition - Latin America, T and D LA 2020",2020-09-28,33,0,10.1109/TDLA47668.2020.9326136
0,2-s2.0-85123363890,Evaluation of Reactive Power Control for High PV Penetration on Low-Voltage Distribution Network,"2021 13th International Conference on Information Technology and Electrical Engineering, ICITEE 2021",2021-01-01,21,0,10.1109/ICITEE53064.2021.9611863
0,2-s2.0-85124747080,Residential Demand Response-Based Load-Shifting Scheme to Increase Hosting Capacity in Distribution System,IEEE Access,2022-01-01,43,0,10.1109/ACCESS.2022.3151172
0,2-s2.0-85123475967,A Review on Techniques to Increase Hosting Capacity of Distribution Systems to DERs,"2021 Workshop on Communication Networks and Power Systems, WCNPS 2021",2021-01-01,46,0,10.1109/WCNPS53648.2021.9626269
0,2-s2.0-85124149918,EV Hosting Capacity Analysis on Distribution Grids,IEEE Power and Energy Society General Meeting,2021-01-01,14,0,10.1109/PESGM46819.2021.9638170
0,2-s2.0-85124355420,PV Hosting Capacity Calculation Using Particle Swarm Optimization,"2021 North American Power Symposium, NAPS 2021",2021-01-01,20,0,10.1109/NAPS52732.2021.9654749
0,2-s2.0-85137547876,Sensitivity and Robustness Issues of Operating Envelopes in Unbalanced Distribution Networks,IEEE Access,2022-01-01,41,0,10.1109/ACCESS.2022.3203062
0,2-s2.0-85137988227,Case Study of Single-Controllable Microgrid: A Practical Implementation,Energies,2022-09-01,45,0,10.3390/en15176400
0,2-s2.0-85127053581,Hosting Capacity of an Australian Low-Voltage Distribution Network for Electric Vehicle Adoption,"PESGRE 2022 - IEEE International Conference on ""Power Electronics, Smart Grid, and Renewable Energy""",2022-01-01,14,0,10.1109/PESGRE52268.2022.9715752
0,2-s2.0-85137306725,Recent investigations on the evaluation of solar PV hosting capacity in LV distribution networks constrained by voltage rise,Renewable Energy,2022-11-01,35,0,10.1016/j.renene.2022.08.120
0,2-s2.0-85139417950,Maximum Hosting Capacity Assessment of Distribution Systems With Multitype DERs Using Analytical OPF Method,IEEE Access,2022-01-01,31,0,10.1109/ACCESS.2022.3207488
0,2-s2.0-85112375580,Comparison of Deterministic and Probabilistic Approaches for Hosting Capacity Allocation of Wind and PV Generation in Distribution Networks,"2021 IEEE Madrid PowerTech, PowerTech 2021 - Conference Proceedings",2021-06-28,16,0,10.1109/PowerTech46648.2021.9494946
0,2-s2.0-85140590081,Towards Maximizing Hosting Capacity by Optimal Planning of Active and Reactive Power Compensators and Voltage Regulators: Case Study,Sustainability (Switzerland),2022-10-01,55,0,10.3390/su142013299
0,2-s2.0-85136332238,A Nomographic Tool for Evaluating The Hosting Capacity of Photovoltaic Systems,"2022 International Conference on Science and Technology, ICOSTECH 2022",2022-01-01,47,0,10.1109/ICOSTECH54296.2022.9828814
0,2-s2.0-85129323471,Enhancing the hosting capacity of distribution transformers for using dynamic component rating,International Journal of Electrical Power and Energy Systems,2022-11-01,25,0,10.1016/j.ijepes.2022.108130
0,2-s2.0-85112362776,A Topology Agnostic Estimation Method for PV Hosting Capacity of Distribution Grids,"2021 IEEE Madrid PowerTech, PowerTech 2021 - Conference Proceedings",2021-06-28,8,0,10.1109/PowerTech46648.2021.9495046
0,2-s2.0-85138945141,PV Hosting Capacity in Distribution Grids: A Comparison of Quantification Methods,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2022",2022-01-01,23,0,10.1109/ICECET55527.2022.9873467
0,2-s2.0-85124478893,Hosting Capacity Calculation Deploying a Hybrid Methodology: A Case Study Concerning the Intermittent Nature of Photovoltaic Distributed Generation and the Variable Nature of Energy Consumption in a Medium Voltage Distribution Network,Energies,2022-02-01,34,0,10.3390/en15031223
0,2-s2.0-85134341676,Decoupled probabilistic feeder hosting capacity calculations using general polynomial chaos,Electric Power Systems Research,2022-10-01,42,0,10.1016/j.epsr.2022.108535
0,2-s2.0-85138060843,Maximization Approach of Hosting Capacity Based on Uncertain Renewable Energy Resources Using Network Reconfiguration and Soft Open Points,International Transactions on Electrical Energy Systems,2022-01-01,43,0,10.1155/2022/2947965
0,2-s2.0-85075896453,Analysis of Smart Technical Measures Impacts on der and EV Hosting Capacity Increase in LV and MV Grids in the Czech Republic in Terms of European Project InterFlex,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,9,0,10.1109/ISGTEurope.2019.8905663
0,2-s2.0-85120868442,Hosting Capacity Assessment in Distribution Networks Considering Wind–Photovoltaic–Load Temporal Characteristics,Frontiers in Energy Research,2021-11-25,52,0,10.3389/fenrg.2021.767610
0,2-s2.0-85134688555,Hosting Capacity of the Power Grid for Electric Vehicles - A Case Study on a Swedish Low Voltage Grid,IOP Conference Series: Earth and Environmental Science,2022-01-01,10,0,10.1088/1755-1315/1050/1/012008
0,2-s2.0-85133018326,An Application of Hunter-Prey Optimization for Maximizing Photovoltaic Hosting Capacity Along with Multi-Objective Optimization in Radial Distribution Network,International Journal of Intelligent Engineering and Systems,2022-01-01,39,0,10.22266/ijies2022.0831.52
0,2-s2.0-85107501645,On IEC 61850 communication networks in smart grids system: Methodology of implementation and performances analysis on an experimental platform,International Journal of Energy Research,2022-01-01,30,0,10.1002/er.6938
0,2-s2.0-85115709549,Operational hosting capacity-based sustainable energy management and enhancement,International Journal of Energy Research,2022-03-10,43,0,10.1002/er.7317
0,2-s2.0-85123952074,Evaluation of Electric Vehicle Hosting Capacity in Campus Microgrid Using Monte Carlo Simulation,ICEMS 2021 - 2021 24th International Conference on Electrical Machines and Systems,2021-01-01,10,0,10.23919/ICEMS52562.2021.9634250
0,2-s2.0-85051202345,Analysis of the hosting capacity of the distributed generation and voltage regulation devices operation according to reactive power control scheme of the inverter-based distributed generation,Transactions of the Korean Institute of Electrical Engineers,2018-07-01,13,0,10.5370/KIEE.2018.67.7.809
0,2-s2.0-85113406747,Fast Hosting Capacity Analysis for Thermal Loading Constraint Using Sensitivity-based Decomposition Method,"2020 52nd North American Power Symposium, NAPS 2020",2021-04-11,8,0,10.1109/NAPS50074.2021.9449771
0,2-s2.0-85133814738,Improving PV Hosting Capacity by Implementing Energy Storage Systems on Distribution Networks,"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",2022-01-01,23,0,10.1109/ICHQP53011.2022.9808611
0,2-s2.0-85082514502,Maximizing solar home battery systems' contribution to the energy transition of the power system,NEIS 2017 - Conference on Sustainable Energy Supply and Energy Storage Systems,2020-01-01,44,0,
0,2-s2.0-85129954735,Methodology for estimating the potential of ground-mounted solar photovoltaic as part of the national electricity grid: The case of Israel,Energy for Sustainable Development,2022-06-01,46,0,10.1016/j.esd.2022.04.015
0,2-s2.0-85135910044,Security constrained optimal placement of renewable energy sources distributed generation for modern grid operations,"Sustainable Energy, Grids and Networks",2022-12-01,47,0,10.1016/j.segan.2022.100897
0,2-s2.0-85118688297,Non-Bias Allocation of Export Capacity for Distribution Network Planning With High Distributed Energy Resource Integration,IEEE Transactions on Power Systems,2022-07-01,45,0,10.1109/TPWRS.2021.3124999
0,2-s2.0-85102028627,A Method of Assessing Photovoltaic Hosting Capacity Considering reverse power protection based on power direction in a Spot Network,iSPEC 2020 - Proceedings: IEEE Sustainable Power and Energy Conference: Energy Transition and Energy Internet,2020-11-23,27,0,10.1109/iSPEC50848.2020.9350951
0,2-s2.0-85133959560,Data Clustering for Optimal Photovoltaic-Distributed Generation Placement in an Active Distribution Network,"Proceedings of the 2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development, NIGERCON 2022",2022-01-01,14,0,10.1109/NIGERCON54645.2022.9803071
0,2-s2.0-85137176209,Enhancement of Solar PV Hosting Capacity in a Remote Industrial Microgrid: A Methodical Techno-Economic Approach,Sustainability (Switzerland),2022-07-01,48,0,10.3390/su14148921
0,2-s2.0-85139934777,Multiple Initial Point Approach to Solving Power Flows for Monte Carlo Studies,Energies,2022-10-01,46,0,10.3390/en15197141
0,2-s2.0-85034062437,Steady-state analysis of unbalanced distribution networks with high penetration of photovoltaic generation,"Handbook of Distributed Generation: Electric Power Technologies, Economics and Environmental Impacts",2017-01-01,35,0,10.1007/978-3-319-51343-0_9
0,2-s2.0-85139550672,Assessment Model for Distributed Wind Generation Hosting Capacity Considering Complex Spatial Correlations,Journal of Modern Power Systems and Clean Energy,2022-09-01,36,0,10.35833/MPCE.2020.000889
0,2-s2.0-85126296362,Increasing renewable energy penetration in harmonically polluted distribution grids using passive filtering: a comparative assessment of common filter types,Electrical Engineering,2022-10-01,59,0,10.1007/s00202-022-01521-8
0,2-s2.0-85140738627,Evaluation of Distributed Generation and Electric Vehicles Hosting Capacity in Islanded DC Grids Considering EV Uncertainty,Energies,2022-10-01,55,0,10.3390/en15207646
0,2-s2.0-85115932062,Estimating spatial distribution impacts of rooftops solar PV on dynamic hosting capacity evaluation for a real distribution feeder,Conference Record of the IEEE Photovoltaic Specialists Conference,2021-06-20,8,0,10.1109/PVSC43889.2021.9518437
0,2-s2.0-85140748842,Optimal DG Integration in Power Distribution Systems Using Coronavirus Herd Immunity Optimizer,International Journal of Intelligent Engineering and Systems,2022-12-01,33,0,10.22266/ijies2022.1231.13
0,2-s2.0-85075870246,Low Computational Cost Method to Calculate the Hosting Capacity in Radial Low Voltage Networks,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,8,0,10.1109/ISGTEurope.2019.8905589
0,2-s2.0-85130781808,Increasing RES Hosting Capacity in Distribution Networks Through Closed-Loop Reconfiguration and Volt/VAr Control,IEEE Transactions on Industry Applications,2022-01-01,33,0,10.1109/TIA.2022.3177175
0,2-s2.0-85130864538,Optimization-Based Stochastic Analysis Method for the Assessment of PV Hosting Capacity,"Proceedings of the 2022 8th International Conference on Applied System Innovation, ICASI 2022",2022-01-01,7,0,10.1109/ICASI55125.2022.9774450
0,2-s2.0-85046302141,V2G study for electric grid reinforcement in a commercial feeder in Mexico City,"2017 IEEE International Autumn Meeting on Power, Electronics and Computing, ROPEC 2017",2017-07-01,17,0,10.1109/ROPEC.2017.8261596
0,2-s2.0-85050566156,Investigating Smart grid approaches for optimal integration of pv distributed energy resources in Dubai,"ISES Solar World Congress 2017 - IEA SHC International Conference on Solar Heating and Cooling for Buildings and Industry 2017, Proceedings",2017-01-01,31,0,10.18086/swc.2017.01.02
0,2-s2.0-85127943663,Analysis and comparison of PV hosting capacity mathematical models: A case study of a Moroccan distribution grid,"2022 2nd International Conference on Innovative Research in Applied Science, Engineering and Technology, IRASET 2022",2022-01-01,15,0,10.1109/IRASET52964.2022.9737893
0,2-s2.0-85096352906,Local photovoltaic reactive power controller for increasing active distribution networks hosting capacity,"IET Generation, Transmission and Distribution",2020-11-13,26,0,10.1049/iet-gtd.2020.0649
0,2-s2.0-85136556760,Uncertainty analysis of DG hosting capacity in distribution network based on voltage sensitivity 基于电压灵敏度的配电网 DG 接纳能力不确定性分析,Dianli Zidonghua Shebei/Electric Power Automation Equipment,2022-07-01,20,0,10.16081/j.epae.202204076
0,2-s2.0-85123073605,Analysis of Some Power Quality Parameters at the Points of Common Coupling of Photovoltaic Plants Based on Data Measured by Inverters,Applied Sciences (Switzerland),2022-02-01,52,0,10.3390/app12031138
0,2-s2.0-85087945200,Exploring the concept of hosting capacity from an electricity market perspective,Hosting Capacity for Smart Power Grids,2020-01-01,42,0,10.1007/978-3-030-40029-3_10
0,2-s2.0-85103350546,Enhancing PV Hosting Capacity Using Smart Inverters and Time of Use Tariffs,Iranian Journal of Science and Technology - Transactions of Electrical Engineering,2021-09-01,41,0,10.1007/s40998-020-00404-7
0,2-s2.0-85133343345,Investigation of Effects of Solar Photovoltaic Penetration in an IEEE 13-bus Radial Low-Voltage Distribution Feeder System,"19th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, ECTI-CON 2022",2022-01-01,19,0,10.1109/ECTI-CON54298.2022.9795436
0,2-s2.0-85098670758,Methodology for evaluation of unused photovoltaic rooftop potentials based on real distribution grid data and georeferenced solar and land registry data,NEIS 2020 - Conference on Sustainable Energy Supply and Energy Storage Systems,2020-01-01,15,0,
0,2-s2.0-85136960404,A Probabilistic Model for Assessment of the PV Hosting Capacity in LV Grid,"Proceedings of the 11th International Scientific Symposium on Electrical Power Engineering, ELEKTROENERGETIKA 2022",2022-01-01,11,0,
0,2-s2.0-85138093507,Risk assessment of renewable energy and multi-carrier energy storage integrated distribution systems,International Journal of Energy Research,2022-01-01,32,0,10.1002/er.8661
0,2-s2.0-85106212213,Tidal energy hosting capacity in australia’s future energy mix,Energies,2021-03-01,44,0,10.3390/en14051479
0,2-s2.0-85133731655,Utilization of Harmonic Emission Limits by Customer Installations in Low and Medium Voltage Networks,"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",2022-01-01,10,0,10.1109/ICHQP53011.2022.9808630
0,2-s2.0-85134356255,Robust comprehensive PV hosting capacity assessment model for active distribution networks with spatiotemporal correlation,Applied Energy,2022-10-01,33,0,10.1016/j.apenergy.2022.119558
0,2-s2.0-85050235626,Photovoltaic micro and mini generation hosting capacity assessment in distribution grids,SBSE 2018 - 7th Brazilian Electrical Systems Symposium,2018-06-25,19,0,10.1109/SBSE.2018.8395603
0,2-s2.0-85133807551,Calculation of the carrying capacity of distributed power generation in distribution network under carbon peaking and carbon neutrality goals,ACM International Conference Proceeding Series,2022-04-22,23,0,10.1145/3529299.3529308
0,2-s2.0-85087952754,A scenario-based approach for storage capacity determination to improve the hosting capacity of distribution systems,Hosting Capacity for Smart Power Grids,2020-01-01,36,0,10.1007/978-3-030-40029-3_5
0,2-s2.0-85078716518,New risk analysis considering spatial correlations among connected PVs for bidirectional distribution feeders,International Transactions on Electrical Energy Systems,2020-05-01,76,0,10.1002/2050-7038.12319
0,2-s2.0-85068366476,Impact assessment of high penetration of rooftop PV in urban residential networks,"Proceedings of the 27th International Conference on the Domestic Use of Energy, DUE 2019",2019-03-01,18,0,
0,2-s2.0-85131074339,Challenges and Opportunities of Integrating Electric Vehicles in Electricity Distribution Systems,Current Sustainable/Renewable Energy Reports,2022-06-01,150,0,10.1007/s40518-022-00201-2
0,2-s2.0-85097346489,Low voltage network clustering for high renewable penetration studies-an isolated network case study,IEEE PES Innovative Smart Grid Technologies Conference Europe,2020-10-26,11,0,10.1109/ISGT-Europe47291.2020.9248972
0,2-s2.0-85092021780,Evaluation of rooftop photovoltaic allocation strategies of hosting capacity analysis in low-voltage grid,AIP Conference Proceedings,2020-09-03,10,0,10.1063/5.0013574
0,2-s2.0-85126776292,Assessment of Photovoltaic Penetration Impact on Voltage Profile for Distribution Networks in Egypt,"22nd International Middle East Power Systems Conference, MEPCON 2021 - Proceedings",2021-01-01,13,0,10.1109/MEPCON50283.2021.9686195
0,2-s2.0-85046355724,Notice of Removal: Distribution resource integration and value estimation,"2017 IEEE 44th Photovoltaic Specialist Conference, PVSC 2017",2017-01-01,9,0,10.1109/PVSC.2017.8366405
0,2-s2.0-85030552797,Correlation analysis between distributed generation maximum hosting capacity of target and non-target bus,Transactions of the Korean Institute of Electrical Engineers,2017-09-01,12,0,10.5370/KIEE.2017.66.9.1317
0,2-s2.0-85138853147,On Maximizing PV Hosting Capacity in Modern Distribution Networks Based on Diverse Control Techniques,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2022",2022-01-01,24,0,10.1109/ICECET55527.2022.9872744
0,2-s2.0-85122587692,Power Control of Energy Storage System in Microgrid considering the Hosting Capacity,Transactions of the Korean Institute of Electrical Engineers,2021-12-01,13,0,10.5370/KIEE.2021.70.12.1778
0,2-s2.0-84936971751,Voltage control of active MV networks integrating RES and storage units: Advanced algorithm and lab tests,IEEE PES Innovative Smart Grid Technologies Conference Europe,2015-01-30,4,0,10.1109/ISGTEurope.2014.7028969
0,2-s2.0-85114743026,Distribution network hosting capacity assessment: Incorporating probabilistic harmonic distortion limits using chance constrained optimal power flow,IET Smart Grid,2022-04-01,50,0,10.1049/stg2.12052
0,2-s2.0-85047170317,Active MV distribution networks: Functional validation of the advanced voltage controller in the Grid4EU Italian demonstrator,CIGRE Session 45 - 45th International Conference on Large High Voltage Electric Systems 2014,2014-01-01,9,0,
0,2-s2.0-85134815237,Assessing the EV Hosting Capacity of Australian Urban and Rural MV-LV Networks,Electric Power Systems Research,2022-11-01,26,0,10.1016/j.epsr.2022.108399
0,2-s2.0-85120858291,A feasible region evaluation method of renewable energy accommodation capacity,Energy Reports,2021-11-01,15,0,10.1016/j.egyr.2021.09.091
0,2-s2.0-85139259249,Coordinated operation of distributed energy resources to enhance local flexibility,CIRED - Open Access Proceedings Journal,2020-01-01,16,0,10.1049/oap-cired.2021.0057
0,2-s2.0-85139230437,Smart meter-driven estimation of PV hosting capacity,CIRED - Open Access Proceedings Journal,2020-01-01,4,0,10.1049/oap-cired.2021.0287
0,2-s2.0-85137839813,Market-based hosting capacity maximization of renewable generation in power grids with energy storage integration,Frontiers in Energy Research,2022-08-19,26,0,10.3389/fenrg.2022.933295
0,2-s2.0-85113308751,Optimization via Statistical Emulation and Uncertainty Quantification: Hosting Capacity Analysis of Distribution Networks,IEEE Access,2021-01-01,44,0,10.1109/ACCESS.2021.3105935
0,2-s2.0-85134294258,Adjustable robust approach to increase DG hosting capacity in active distribution systems,Electric Power Systems Research,2022-10-01,26,0,10.1016/j.epsr.2022.108347
0,2-s2.0-85096036655,An Economic Evaluation of the Viewpoint of Distribution System Owner for the Increase of Hosting Capacity in the Distribution System with Interconnected Solar Photovoltaic Generators,Transactions of the Korean Institute of Electrical Engineers,2020-11-01,20,0,10.5370/KIEE.2020.69.11.1675
0,2-s2.0-85140914689,Including uncertainties in harmonic hosting capacity calculation of a fast EV charging station utilizing Bayesian statistics and harmonic correlation,Electric Power Systems Research,2023-01-15,44,0,10.1016/j.epsr.2022.108933
0,2-s2.0-85079051009,An Uncertainty involved Optimization Model of Renewable Hosting Capacity Enhancement,IEEE Power and Energy Society General Meeting,2019-08-01,13,0,10.1109/PESGM40551.2019.8973497
0,2-s2.0-85137890526,Operation Method of On-Load Tap Changer on Main Transformer Considering Reverse Power Flow in Distribution System Connected with High Penetration on Photovoltaic System,Energies,2022-09-01,38,0,10.3390/en15176473
0,2-s2.0-85116611191,Hosting capacity enhancement and voltage profile improvement using series power electronic compensator in LV distribution networks,SEST 2021 - 4th International Conference on Smart Energy Systems and Technologies,2021-09-06,21,0,10.1109/SEST50973.2021.9543246
0,2-s2.0-85115055914,Distribution network electric vehicle hosting capacity enhancement using an optimal power flow formulation,Electrical Engineering,2022-06-01,46,0,10.1007/s00202-021-01374-7
0,2-s2.0-85107474996,Study on Peer-to-Peer trading mechanism in local distribution network,"Proceedings - 2021 6th Asia Conference on Power and Electrical Engineering, ACPEE 2021",2021-04-01,17,0,10.1109/ACPEE51499.2021.9436853
0,2-s2.0-85117592881,Photovoltaic potential spatial estimation considering shading effects,"2021 IEEE PES Innovative Smart Grid Technologies Conference - Latin America, ISGT Latin America 2021",2021-09-15,17,0,10.1109/ISGTLatinAmerica52371.2021.9543075
0,2-s2.0-85125694235,A Robust Multiobjective Strategy for Short-Term Distribution System Upgrading to Increase the Distributed Generation Hosting Capacity,IEEE Transactions on Power Systems,2022-11-01,27,0,10.1109/TPWRS.2022.3155934
0,2-s2.0-85126437184,Increasing the PV Hosting Capacity in Unbalanced Three-Phase Distribution Networks Through Reconfiguration with Closed-Loop Operation,"21st IEEE International Conference on Environment and Electrical Engineering and 2021 5th IEEE Industrial and Commercial Power System Europe, EEEIC / I and CPS Europe 2021 - Proceedings",2021-01-01,18,0,10.1109/EEEIC/ICPSEUROPE51590.2021.9611034
0,2-s2.0-85140826670,A Tariff Structure for Reliability of Power Supply Levels in Congested Low Voltage Networks,SEST 2022 - 5th International Conference on Smart Energy Systems and Technologies,2022-01-01,16,0,10.1109/SEST53650.2022.9898446
0,2-s2.0-85116860522,Evaluation of Electric Vehicles Hosting Capacity Based on Interval Undervoltage Probability in a Distribution Network,IEEE Access,2021-01-01,31,0,10.1109/ACCESS.2021.3116465
0,2-s2.0-85087984818,A methodology proposal for calculation of hosting capacity including different power quality phenomena,Hosting Capacity for Smart Power Grids,2020-01-01,13,0,10.1007/978-3-030-40029-3_3
0,2-s2.0-85113148095,Application of Secondary Var Controller in distribution systems to accommodate growing der penetration,IEEE Green Technologies Conference,2021-04-01,19,0,10.1109/GreenTech48523.2021.00075
0,2-s2.0-85099662398,Impact of Advanced Vol-V Ar Control Devices on Increasing PV Hosting Capacity of Distribution Systems,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2020-10-12,9,0,10.1109/TD39804.2020.9299933
0,2-s2.0-84877252224,Towards smart grids: Active management of MV network,CIGRE 2011 Bologna Symposium - The Electric Power System of the Future: Integrating Supergrids and Microgrids,2011-12-01,16,0,
0,2-s2.0-85140435454,Enhancing the unbalanced distribution network's hosting capacity for DERs via optimal load re-phasing,Sustainable Cities and Society,2022-12-01,48,0,10.1016/j.scs.2022.104243
