Authors,Author full names,Author(s) ID,Titles,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Indexed Keywords,Author Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Haghjoo F.; Mostafaei M.,"Haghjoo, Farhad (55319574400); Mostafaei, Mohsen (56964201700)",55319574400; 56964201700,Flux-based method to diagnose and identify the location of turn-to-turn faults in transformers,2016,"IET Generation, Transmission and Distribution",10,4,,1083,1091,8.0,10.1049/iet-gtd.2015.1180,27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962613508&doi=10.1049%2fiet-gtd.2015.1180&partnerID=40&md5=efee7fa76f67a90126c7f91a6b595a1c,"Department of Electrical Engineering, Shahid Abbaspour School of Engineering, Shahid Beheshti University, Tehran, Iran","Haghjoo F., Department of Electrical Engineering, Shahid Abbaspour School of Engineering, Shahid Beheshti University, Tehran, Iran; Mostafaei M., Department of Electrical Engineering, Shahid Abbaspour School of Engineering, Shahid Beheshti University, Tehran, Iran","Internal turn-to-turn faults (TTF) are considered as a common cause of transformer failures. Such defects (especially minor TTFs) may result in minor changes in terminal currents/voltages as these are undetectable by conventional current and/or voltage-based methods. In this study, a simple, sensitive and robust method is proposed to identify the TTF locations in power transformers by using core flux based technique. In this approach, a few turns must be wrapped around the transformer core legs to sense and detect the related core flux. Passing asymmetrical flux through a transformer core leg (due to a TTF) induces different voltages in the related sensors, which are located at different places. Variation of the core flux in the corresponding sensors indicates the faulty phase and the TTF location on that phase as well. The proposed technique is verified by some simulations and experimental tests. The obtained results show that the proposed technique successfully (i) detects all the TTFs, (ii) identifies the faulty phase, and (iii) specifies the faulty region on the related phase. Although the proposed method requires a few search coils to be installed on the transformer core legs, installing these thin wires will not change the transformer design significantly. © The Institution of Engineering and Technology 2016.",Power transformers; Conventional currents; Different voltages; Experimental test; Terminal currents; Transformer core; Transformer design; Transformer failure; Turn-to-turn faults; Location,,"F. Haghjoo; Department of Electrical Engineering, Shahid Abbaspour School of Engineering, Shahid Beheshti University, Tehran, Iran; email: f_haghjoo@sbu.ac.ir",,Institution of Engineering and Technology,17518687,,,,English,IET Gener. Transm. Distrib.,Article,Final,,Scopus,2-s2.0-84962613508
Djamali M.; Tenbohlen S.; Junge E.; Konermann M.,"Djamali, Mohammad (56875477700); Tenbohlen, Stefan (6602926746); Junge, Eric (57195579792); Konermann, Martin (57195575353)",56875477700; 6602926746; 57195579792; 57195575353,Real-Time Evaluation of the Dynamic Loading Capability of Indoor Distribution Transformers,2018,IEEE Transactions on Power Delivery,33,3,,1134,1142,8.0,10.1109/TPWRD.2017.2728820,23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028939599&doi=10.1109%2fTPWRD.2017.2728820&partnerID=40&md5=cb2f568e4a58495acd0b1063590d20f0,"Institute of Power Transmission and High Voltage Technology, University of Stuttgart, Stuttgart, 70569, Germany; Netze BW GmbH, Stuttgart, 70567, Germany","Djamali M., Institute of Power Transmission and High Voltage Technology, University of Stuttgart, Stuttgart, 70569, Germany; Tenbohlen S., Institute of Power Transmission and High Voltage Technology, University of Stuttgart, Stuttgart, 70569, Germany; Junge E., Netze BW GmbH, Stuttgart, 70567, Germany; Konermann M., Netze BW GmbH, Stuttgart, 70567, Germany","With the integration of the renewable energy-based distributed small power plants, whose generated energies are uncertain, in addition to the increasing usage of the charging stations for electric vehicles, the determination of the dynamic loading of distribution transformers appears to be crucial. Therefore, the issues of the model-based online monitoring of distribution transformers may achieve acceptance, if a cost-benefit compromise is reached. In this paper, a new thermal model is proposed to calculate the top-oil temperature of indoor distribution transformers using calculated tank temperature which accounts for convection, radiation, conduction, and ventilation heat transfer phenomena. The model is validated using measurements during the in-service operation of two indoor distribution transformers. Moreover, a method for calculating the loading capability of indoor distribution transformers without sacrificing the transformer's life is presented which can be easily adjusted for other distribution transformers. Furthermore, the results of the hardware implementing the proposed model and method for a model-based online assessment of the loading capability during the in-service operation of an indoor distribution transformer are presented. © 1986-2012 IEEE.",Cost benefit analysis; Dynamic loads; Electric power plants; Electric transformers; Heat transfer; Partial discharges; Renewable energy resources; Small power plants; Distribution transformer; On-line assessment; Online monitoring; Real time evaluation; Service operations; Thermal model; Top oil temperature; Ventilation heat transfer; Electric power distribution,Loading capability; online monitoring; thermal modeling; top-oil temperature,"M. Djamali; Institute of Power Transmission and High Voltage Technology, University of Stuttgart, Stuttgart, 70569, Germany; email: mohammad.djamali@ieh.uni-stuttgart.de",,Institute of Electrical and Electronics Engineers Inc.,08858977,,ITPDE,,English,IEEE Trans Power Delivery,Article,Final,,Scopus,2-s2.0-85028939599
Ma G.; Wang Y.; Qin W.; Zhou H.; Yan C.; Jiang J.; Ju Y.,"Ma, Guoming (16833498600); Wang, Yuan (57200227093); Qin, Weiqi (57207943283); Zhou, Hongyang (56898244200); Yan, Chao (57190674075); Jiang, Jun (57211817391); Ju, Yiguang (7202809556)",16833498600; 57200227093; 57207943283; 56898244200; 57190674075; 57211817391; 7202809556,Optical sensors for power transformer monitoring: A review,2021,High Voltage,6,3,,367,386,19.0,10.1049/hve2.12021,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108107204&doi=10.1049%2fhve2.12021&partnerID=40&md5=480c48e726d8d42cfd98c898b293ea4e,"State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, United States; Center for More-Electric-Aircraft Power System, Nanjing University of Aeronautics and Astronautics, Nanjing, China","Ma G., State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; Wang Y., State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; Qin W., State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; Zhou H., State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; Yan C., Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, United States; Jiang J., Center for More-Electric-Aircraft Power System, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Ju Y., Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, United States","Power transformers play a vital role in power transmission systems from the energy source to the consumption center. In situ diagnostics of the performance of power transformers provides a variety of benefits to ensure reliable electricity transmission. Immunity to electromagnetic interference, high sensitivity, high insulation as well as small dimensions of optical sensing make it very attractive for applications in power transformer monitoring. This paper presents a critical review of various diagnostic methods for power transformers such as partial discharge, dissolved gases, temperature and other important sensing, and optical detection. The advantages and disadvantages of different monitoring methods are carefully discussed and assessed. Finally, the existing technical barriers and future prospects of optical monitoring methods for power transformers are presented. © 2020 The Authors. High Voltage published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology and China Electric Power Research Institute.",Electromagnetic pulse; Monitoring; Partial discharges; Power transformers; Transmissions; Diagnostic methods; Electricity transmission; Monitoring methods; Optical detection; Optical monitoring; Power transformer monitoring; Power transmission systems; Technical barriers; Electric power transmission,,"G. Ma; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; email: ncepumgm@gmail.com",,John Wiley and Sons Inc,23977264,,,,English,High Volt.,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85108107204
Assolami Y.O.; Morsi W.G.,"Assolami, Yasser O. (56815123900); Morsi, Walid G. (22635671700)",56815123900; 22635671700,Impact of Second-Generation Plug-In Battery Electric Vehicles on the Aging of Distribution Transformers Considering TOU Prices,2015,IEEE Transactions on Sustainable Energy,6,4,7225181,1606,1614,8.0,10.1109/TSTE.2015.2460014,32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960806976&doi=10.1109%2fTSTE.2015.2460014&partnerID=40&md5=8d599b3e459ced5215c6efba89a8817d,"Department of Electrical Engineering, University of Ontario Institute of Technology (UOIT), Oshawa, L1H7K4, ON, Canada","Assolami Y.O., Department of Electrical Engineering, University of Ontario Institute of Technology (UOIT), Oshawa, L1H7K4, ON, Canada; Morsi W.G., Department of Electrical Engineering, University of Ontario Institute of Technology (UOIT), Oshawa, L1H7K4, ON, Canada","This paper investigates the impact of second-generation (SG) plug-in battery electric vehicles (PBEVs) on distribution transformers insulation life considering the time-of-use (TOU) prices. The effect of dual Level 2 charging, 3.7kW, and 6.6kW on the loss of life (LOL) of a distribution transformer is also studied. The LOL results demonstrating the effectiveness of SG PBEVs charging as two clusters versus one cluster are discussed and conclusions are drawn. © 2015 IEEE.",Amphibious vehicles; Charging (batteries); Crashworthiness; Electric batteries; Electric insulation; Electric transformer insulation; Electric transformers; Electric vehicles; Battery electric vehicles; Distribution transformer; Insulation life; Level 2; Loss of life; Plug-ins; Second generation; Time of use prices (TOU); Secondary batteries,Aging; Monte Carlo (MC) methods; power distribution,,,Institute of Electrical and Electronics Engineers Inc.,19493029,,,,English,IEEE Trans. Sustainable Energy,Article,Final,,Scopus,2-s2.0-84960806976
Sikorski W.,"Sikorski, Wojciech (9334996200)",9334996200,Active dielectricwindow: A new concept of combined acoustic emission and electromagnetic partial discharge detector for power transformers,2019,Energies,12,1,en12010115,,,,10.3390/en12010115,22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060020507&doi=10.3390%2fen12010115&partnerID=40&md5=768b3ef16c4ddc70c257d6d50ab18af4,"Institute of Electrical Power Engineering, Poznan University of Technology, Piotrowo 3A, Poznan, 60-965, Poland","Sikorski W., Institute of Electrical Power Engineering, Poznan University of Technology, Piotrowo 3A, Poznan, 60-965, Poland","The detection and location of partial discharge (PD) is of great significance in evaluating the insulation condition of power transformers. This paper presents an active dielectric window (ADW), which is a new concept of combined acoustic emission (AE) and electromagnetic PD detector intended for assembly in a transformer's inspection hatch. The novelty of this design lies in the fact that all structural components of an ultrasonic transducer, i.e., the matching and backing layer, an active piezoelectric element with electrodes, and electrical leads, were built into a dielectric window. Due to the fact that its construction was optimized for work in mineral oil, it is characterized by much higher sensitivity of PD detection than a general-purpose AE sensor mounted outside a transformer tank. Laboratory tests showed that the amplitude of the AE pulses generated by creeping discharges, which were registered by the ADW, was around five times higher on average than the pulses registered by a commonly used contact transducer. A possibility of simultaneous detection of acoustic and electromagnetic pulses (with an integrated ultra-high frequency (UHF) antenna) is an important advantage of the ADW. It allows for an increase in the reliability of PD detection, the accuracy of defect location, and the effectiveness of disturbance identification. This paper describes in detail the applied methods of designing and modeling the ADW components, the manufacturing process of the prototype construction, and the results of preliminary laboratory tests, in which the detector's sensitivity as well as the efficiency of the PD source location were evaluated. © 2018 by the author.",Antennas; Condition monitoring; Electromagnetic pulse; Location; Oil filled transformers; Partial discharges; Power transformers; Transducers; Ultrasonic applications; Ultrasonic transducers; Disturbance identification; Partial discharge detectors; Piezoelectric elements; Power transformer diagnostics; Simultaneous detection; Source location; UHF antennas; Ultra High Frequency (UHF); Acoustic emission testing,acoustic emission (AE); condition monitoring; partial discharge (PD); PD source location; power transformer diagnostics; UHF antenna,"W. Sikorski; Institute of Electrical Power Engineering, Poznan University of Technology, Poznan, Piotrowo 3A, 60-965, Poland; email: wojciech.sikorski@put.poznan.pl",,MDPI AG,19961073,,,,English,Energies,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85060020507
Zarei T.; Morozovska K.; Laneryd T.; Hilber P.; Wihlén M.; Hansson O.,"Zarei, Tahereh (57191284700); Morozovska, Kateryna (57194541864); Laneryd, Tor (37048932900); Hilber, Patrik (9742627900); Wihlén, Malin (57203839521); Hansson, Olle (7006190623)",57191284700; 57194541864; 37048932900; 9742627900; 57203839521; 7006190623,Reliability considerations and economic benefits of dynamic transformer rating for wind energy integration,2019,International Journal of Electrical Power and Energy Systems,106,,,598,606,8.0,10.1016/j.ijepes.2018.09.038,25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056630521&doi=10.1016%2fj.ijepes.2018.09.038&partnerID=40&md5=53f1fc01f0d796a822b6a6989da48730,"Department of Electromagnetic Engineering, School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Corporate Research, ABB AB, Västerås, Sweden; Ellevio AB, Stockholm, Sweden; Independent Consultant at Ellevio AB, Stockholm, Sweden","Zarei T., Department of Electromagnetic Engineering, School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Morozovska K., Department of Electromagnetic Engineering, School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Laneryd T., Corporate Research, ABB AB, Västerås, Sweden; Hilber P., Department of Electromagnetic Engineering, School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Wihlén M., Ellevio AB, Stockholm, Sweden; Hansson O., Independent Consultant at Ellevio AB, Stockholm, Sweden","An increasing share of renewable energy on the electricity market creates the need for economic and efficient production, operation and integration technologies, associated with the specific behavior of renewable energy sources (RES). Dynamic rating (DR) provides a possibility to apply improvements to the system both during planning and operation stages. The DR benefits are well described in various literature sources. However, DR is often focused on more efficient exploitation of power lines, not power transformers. Power transformers are costly equipment and their efficient usage and planning can have drastic effect on total costs. Our analysis focuses on the dynamic transformer rating (DTR) for wind energy applications. The main objective is to study reliability effects of DTR from the component perspective. We utilize existing knowledge about transformer heat balance models from IEC and IEEE standards to obtain information on the loss of life (LOL) of the transformer under investigation and propose possible improvements for the system in question. The method can be employed for identifying the appropriate transformer size by taking into account ambient temperature and load variations and then overloading the transformer beyond nameplate ratings. The reliability of the proposed application is ensured by calculating the risk of overloading the transformer for each day of the year. A risk of overloading is quantified as LOL of the transformer. The risk is presented as a function of ambient temperature and duration of an overload. The final step consists of an economic analysis, which demonstrates economic benefits of DTR application. © 2018 Elsevier Ltd",Economic analysis; IEEE Standards; Power transformers; Reliability; Specific heat; Temperature; Wind power; Energy applications; Heat balance; Integration technologies; Loss of life; Renewable energy source; Risk of overloading; Transformer ratings; Wind energy integration; Economic and social effects,Dynamic transformer rating; Heat balance; Loss of life; Wind energy,"K. Morozovska; School of Electrical Engineering and Computer Science, KTH, Stockholm, Teknikringen 33, 10044, Sweden; email: kmor@kth.se",,Elsevier Ltd,01420615,,IEPSD,,English,Int J Electr Power Energy Syst,Article,Final,,Scopus,2-s2.0-85056630521
Liu J.; Zheng H.; Zhang Y.; Wei H.; Liao R.,"Liu, Jiefeng (36548896000); Zheng, Hanbo (24466108600); Zhang, Yiyi (56527525100); Wei, Hua (7402517386); Liao, Ruijin (7103171417)",36548896000; 24466108600; 56527525100; 7402517386; 7103171417,Grey relational analysis for insulation condition assessment of power transformers based upon conventional dielectric response measurement,2017,Energies,10,10,1526,,,,10.3390/en10101526,36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036475470&doi=10.3390%2fen10101526&partnerID=40&md5=502852e408ecd06630683ef922f7c525,"Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, 530004, China; Shijiazhuang Power Supply Branch of State Grid Electric Power Company, Shijiazhuang, 050093, China; State Grid Henan Electric Power Research Institute, Zhengzhou, 450052, China; State Key Laboratory of Power Transmission Equipment & System Security and New Technology, Chongqing University, Chongqing, 400044, China","Liu J., Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, 530004, China, Shijiazhuang Power Supply Branch of State Grid Electric Power Company, Shijiazhuang, 050093, China; Zheng H., Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, 530004, China, State Grid Henan Electric Power Research Institute, Zhengzhou, 450052, China; Zhang Y., Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, 530004, China; Wei H., Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, 530004, China; Liao R., State Key Laboratory of Power Transmission Equipment & System Security and New Technology, Chongqing University, Chongqing, 400044, China","Conventional dielectric response measurement techniques, for instance, recovery voltage measurement (RVM), frequency domain spectroscopy (FDS) and polarization-depolarization current (PDC) are effective nondestructive insulation monitoring techniques for oil-impregnated power transformers. Previous studies have focused mainly on some single type of dielectric measurement method. However, the condition of oil paper insulation in transformer is affected by many factors, so it is difficult to predict the insulation status by means of a single method. In this paper, the insulation condition assessment is performed by grey relational analysis (GRA) technique after carefully investigating different dielectric response measurement data. The insulation condition sensitive parameters of samples with unknown insulation status are extracted from different dielectric response measurement data and then these are used to contrast with the standard insulation state vector models established in controlled laboratory conditions by using GRA technique for predicting insulation condition. The performance of the proposed approach is tested using both the laboratory samples and a power transformer to demonstrate that it can provide reliable and effective insulation diagnosis. © 2017 MDPI AG. All Rights Reserved.",Depolarization; Insulation; Nondestructive examination; Oil filled transformers; Polarization; Power transformers; Voltage measurement; Depolarization currents; Dielectric response measurements; Frequency domain spectroscopies (FDS); Frequency domain spectroscopy; Grey relational analyses (GRA); Grey relational analysis; Insulation monitoring techniques; Recovery voltage measurements; Frequency domain analysis,Frequency domain spectroscopy; Grey relational analysis; Oil-impregnated transformers; Polarization-depolarization current; Recovery voltage measurement,"H. Zheng; Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, 530004, China; email: hanbozheng@163.com",,MDPI AG,19961073,,,,English,Energies,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85036475470
Blanco Alonso P.E.; Meana-Fernández A.; Fernández Oro J.M.,"Blanco Alonso, Pelayo E. (57194059052); Meana-Fernández, Andrés (57194062485); Fernández Oro, Jesús M. (8075010900)",57194059052; 57194062485; 8075010900,Thermal response and failure mode evaluation of a dry-type transformer,2017,Applied Thermal Engineering,120,,,763,771,8.0,10.1016/j.applthermaleng.2017.04.007,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018490413&doi=10.1016%2fj.applthermaleng.2017.04.007&partnerID=40&md5=d66ff850586b7d1a247bc949635717c3,"Fluid Mechanics Area, Department of Energy, University of Oviedo, C/Wifredo Ricart s/n, Gijón, 33203, Asturias, Spain","Blanco Alonso P.E., Fluid Mechanics Area, Department of Energy, University of Oviedo, C/Wifredo Ricart s/n, Gijón, 33203, Asturias, Spain; Meana-Fernández A., Fluid Mechanics Area, Department of Energy, University of Oviedo, C/Wifredo Ricart s/n, Gijón, 33203, Asturias, Spain; Fernández Oro J.M., Fluid Mechanics Area, Department of Energy, University of Oviedo, C/Wifredo Ricart s/n, Gijón, 33203, Asturias, Spain","In this work, the safe working limits of a 10 kVA dry-type transformer with H-class insulation are determined by modeling its thermal response in different scenarios using numerical simulations (CFD). A numerical model of the heat transfer from the transformer to its surroundings by natural convection has been developed. Firstly, a steady regime with the transformer working at full load at an ambient temperature of 300 K is studied in order to gain insight into the heat transmission mechanisms. Then, a series of 32 steady simulations with different load and ambient conditions is performed to characterize insulation aging due to overheating. Finally, a second group of 9 transient simulations is employed to assess the transformer failure time under an overload situation. The results show a coupling between the thermal and flow fields. The hot spot temperatures obtained by the model are consistent with previous experimental observations and the time that the transformer resists an overload has been calculated. The results obtained allow the prediction of the thermal behavior of a transformer under different scenarios, reducing the need for instrumentation, as well as experimental tests which result in the loss of the testing transformer. © 2017 Elsevier Ltd",Computational fluid dynamics; Failure analysis; Heat transfer; Insulation; Numerical analysis; Numerical models; Outages; Power transformers; Thermal insulation; Ambient conditions; Dry-type transformer; Electro-thermal effects; Hotspot temperature; Power transformer insulation; Power transformer loss; Transformer failure; Transient simulation; Electric transformer testing,Electrothermal effects; Failure analysis; Numerical analysis; Power transformer insulation; Power transformer losses,,,Elsevier Ltd,13594311,,ATENF,,English,Appl Therm Eng,Article,Final,,Scopus,2-s2.0-85018490413
Gray M.K.; Morsi W.G.,"Gray, M.K. (56178156800); Morsi, W.G. (22635671700)",56178156800; 22635671700,On the role of prosumers owning rooftop solar photovoltaic in reducing the impact on transformer's aging due to plug-in electric vehicles charging,2017,Electric Power Systems Research,143,,,563,572,9.0,10.1016/j.epsr.2016.10.060,25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003550174&doi=10.1016%2fj.epsr.2016.10.060&partnerID=40&md5=cc6639664488390e510160ec1ee9e80a,"Faculty of Engineering and Applied Science, UOIT, Oshawa, ON, Canada","Gray M.K., Faculty of Engineering and Applied Science, UOIT, Oshawa, ON, Canada; Morsi W.G., Faculty of Engineering and Applied Science, UOIT, Oshawa, ON, Canada","This paper investigates the synergetic effect of rooftop solar photovoltaic (PV) generation owned by residential prosumers (power producers and consumers) on reducing the distribution substation transformer's aging caused by charging plug-in electric vehicles (PEVs). Unlike previous work considering surveys based on internal combustion engine-based vehicle data (e.g., National Household Travel Survey (NHTS)) are used in estimating the charging demand of PEVs, this work considers actual PEVs charging data based on the 2015 Canadian Plug-in Electric Vehicle Survey (CPEVS). This work further quantifies the resultant aging seen on substation transformers when internal combustion engine-based National Household Travel Survey data as compared to plug-in electric vehicle driving data from the Canadian Plug-in Electric Vehicle Survey. Moreover, a comparison of the substation transformer aging is performed based on varying plug-in electric vehicle charging levels. Results of the scenarios have shown substation transformer loss of life is found to be at least 30% higher when vehicle data is based on plug-in electric vehicle studies versus conventional internal combustion engine vehicles with 0% PV penetration, up to twice as high at 100% PV penetration. Further studies have shown grouped plug-in electric vehicle charging using 3.3 kW at 7 pm results in twice the transformer aging seen versus plug-in electric vehicles charging beginning upon returning home. Finally, results have shown that the effect of rooftop solar PV owned by residential prosumers was found to reduce substation transformer loss-of-life by 75% in the case of 3.3 kW plug-in electric vehicle charging when 100% PV penetration was added to the system. Such reduction is due to a decrease in transformer's winding hot-spot temperature caused by PV generation despite the non-coincidence between the peak charging demand of plug-in electric vehicles and the peak power generation from rooftop solar photovoltaic. © 2016 Elsevier B.V.",Charging (batteries); Combustion; Combustion equipment; Electric losses; Electric power distribution; Electric substations; Electric vehicles; Electric windings; Engines; Housing; Intelligent systems; Internal combustion engines; Monte Carlo methods; Motor transportation; Photovoltaic cells; Photovoltaic effects; Power quality; Solar concentrators; Solar power generation; Surveys; Transformer substations; Transportation; Vehicles; Distribution substations; Internal combustion engine vehicles; National household travel surveys; Plug-in electric vehicle charging; Solar photovoltaics; Substation transformers; Transformer loss of lives; Winding hot spot temperatures; Plug-in electric vehicles,Electric vehicles; Monte Carlo simulation; Power quality; Rooftop solar photovoltaic; Transformer loss of life,"W.G. Morsi; University of Ontario Institute of Technology, Oshawa, Canada; email: walidmorsi.ibrahim@uoit.ca",,Elsevier Ltd,03787796,,EPSRD,,English,Electr Power Syst Res,Article,Final,,Scopus,2-s2.0-85003550174
Cazacu E.; Petrescu L.; Ionita V.,"Cazacu, Emil (24340740200); Petrescu, Lucian (16402894300); Ionita, Valentin (6602276485)",24340740200; 16402894300; 6602276485,Losses and temperature rise within power transformers subjected to distorted currents,2017,"2017 15th International Conference on Electrical Machines, Drives and Power Systems, ELMA 2017 - Proceedings",,,7955464,362,365,3.0,10.1109/ELMA.2017.7955464,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025433685&doi=10.1109%2fELMA.2017.7955464&partnerID=40&md5=05db44001ab426936b945acbc88cb5b7,"Electrical Engineering Department, University POLITEHNICA of Bucharest, 313 Splaiul Independentei, Bucharest, 060042, Romania","Cazacu E., Electrical Engineering Department, University POLITEHNICA of Bucharest, 313 Splaiul Independentei, Bucharest, 060042, Romania; Petrescu L., Electrical Engineering Department, University POLITEHNICA of Bucharest, 313 Splaiul Independentei, Bucharest, 060042, Romania; Ionita V., Electrical Engineering Department, University POLITEHNICA of Bucharest, 313 Splaiul Independentei, Bucharest, 060042, Romania","The currently high energy efficiency demands and control requirements impose an extensive usage of power electronic devices and circuits in both domestic and industrial applications. These intrinsic nonlinear loads generate prominent level distortion of the electric current waveforms, which lead to additional losses and thermal stress within the power supply distribution system. Thus, due to the supplementary harmonic losses, the power transformer, experience an increase of its hot-spot temperature that may cause the machine insulation failure and ultimately the transformer lifetime expectancy reduction. In order to overcome these undesirable consequences, the reduction of the apparent power rating of the transformer (derating) is commonly adopted. This paper quantitatively investigates the nonsinusoidal steady state of the transformer by evaluating the losses distribution within the machine, its hot-spot temperature rise and the corresponding transformer loss of life. The computation procedure is exemplified on a 250 kVA liquid filled three-phase power distribution transformer that supplies both linear and nonlinear industrial loads. © 2017 IEEE.",Electric losses; Electric machinery; Electric power systems; Electric transformers; Energy efficiency; Power quality; Power transformers; derating; Harmonics loss; High energy efficiency; Hotspot temperature; Power distribution transformer; Power electronic devices; Power supply distribution; Transformer loss of lives; Electric power distribution,derating; harmonics losses; hot-spot temperature; power quality; power transformer; transformer loss of life,,,Institute of Electrical and Electronics Engineers Inc.,,978-150906691-9,,,English,"Int. Conf. Electr. Mach., Drives Power Syst., ELMA - Proc.",Conference paper,Final,,Scopus,2-s2.0-85025433685
